timestamp,led,,,
7.35,bwbwbwbwbwbwbwb,,,1.67
9.02,wbwbwbwbwbwbwbw,,,1.67
10.69,bwbwbwbwbwbwbwb,,,1.67
12.36,wbwbwbwbwbwbwbw,,,1.67
14.03,bwbbwbbwbbwbbwb,,,1.67
15.7,wbwwbwwbwwbwwbw,,,1.67
17.37,bwbbwbbwbbwbbwb,,,1.67
19.04,wbwwbwwbwwbwwbw,,,1.67
20.71,wwwbbbwwwbbbwww,,,1.67
22.38,bbbwwwbbbwwwbbb,,,1.67
24.05,wwwbbbwwwbbbwww,,,1.67
25.72,bbbwwwbbbwwwbbb,,,1.67
27.39,bbbbbbbbbbbbbbb,,,1.67
29.06,wwwwwwwwwwwwwww,,,1.67
30.73,bbbbbbbbbbbbbbb,,,3.56
34.29,bbwbwbbwbbwbbbw,,,0.45
34.74,bwbbwbbwbbwbbbb,,,0.45
35.19,bwbbbwbwwbbwbwb,,,0.45
35.64,bbbbwwbbbbwwbbb,,,0.45
36.09,bbwbwbbwbbwbbbw,,,0.45
36.54,bwbbwbbwbbwbbbb,,,0.45
36.99,bwbbbwbwwbbwbwb,,,0.45
37.44,bbbbwwbbbbwwbbb,,,0.45
37.89,bwbwbwbwbwbwbwb,,,0.45
38.34,wbwbwbwbwbwbwbw,,,0.45
38.79,bwbwbwbwbwbwbwb,,,0.45
39.24,wbwbwbwbwbwbwbw,,,0.45
39.69,bwbbwbbwbbwbbwb,,,0.45
40.14,wbwwbwwbwwbwwbw,,,0.45
40.59,bwbbwbbwbbwbbwb,,,0.45
41.04,wbwwbwwbwwbwwbw,,,0.45
41.49,wwwbbbwwwbbbwww,,,0.45
41.94,bbbwwwbbbwwwbbb,,,0.45
42.39,wwwbbbwwwbbbwww,,,0.45
42.84,bbbwwwbbbwwwbbb,,,0.45
43.29,bbwbwbbwbbwbbbw,,,0.45
43.74,bwbbwbbwbbwbbbb,,,0.45
44.19,bwbbbwbwwbbwbwb,,,0.45
44.64,bbbbwwbbbbwwbbb,,,0.45
45.09,bbwbwbbwbbwbbbw,,,0.45
45.54,bwbbwbbwbbwbbbb,,,0.45
45.99,bwbbbwbwwbbwbwb,,,0.45
46.44,bbbbwwbbbbwwbbb,,,0.45
46.89,bwbwbwbwbwbwbwb,,,0.45
47.34,wbwbwbwbwbwbwbw,,,0.45
47.79,bwbwbwbwbwbwbwb,,,0.45
48.24,wbwbwbwbwbwbwbw,,,0.45
48.69,bwbbwbbwbbwbbwb,,,0.45
49.14,wbwwbwwbwwbwwbw,,,0.45
49.59,bwbbwbbwbbwbbwb,,,0.45
50.04,wbwwbwwbwwbwwbw,,,0.45
50.49,wwwbbbwwwbbbwww,,,0.45
50.94,bbbwwwbbbwwwbbb,,,0.45
51.39,wwwbbbwwwbbbwww,,,0.45
51.84,bbbwwwbbbwwwbbb,,,0.45
52.29,bbwbwbbwbbwbbbw,,,0.45
52.74,bwbbwbbwbbwbbbb,,,0.45
53.19,bwbbbwbwwbbwbwb,,,0.45
53.64,bbbbwwbbbbwwbbb,,,-53.64
