timestamp,led
0,aaaaaaaaaaaaaaa
1.063,aaaaaaaaaaaaaaa
1.5,aaaaaaaaaaaaaaa
1.75,aaaaaaaaaaaaaaa
2,aaaaaaaaaaaaaaa
2.438,aaaaaaaaaaaaaaa
2.792,aaaaaaaaaaaaaaa
3.146,aaaaaaaaaaaaaaa
3.375,aaaaaaaaaaaaaaa
3.604,aaaaaaaaaaaaaaa
3.833,aaaaaaaaaaaaaaa
4.771,aaaaaaawaaaaaaa
5.042,aaaaaaadaaaaaaa
5.271,aaaaaaaeaaaaaaa
5.479,aaaaaaacaaaaaaa
5.708,aaaaaaabaaaaaaa
6.417,aaaaaaacaaaaaaa
6.896,aaaaaaawaaaaaaa
7.125,aaaaaaadaaaaaaa
7.354,aaaaaaaeaaaaaaa
7.583,aaaaaaabaaaaaaa
8.521,aaaaaaawaaaaaaa
8.958,aaaaaaaeaaaaaaa
9.208,aaaaaaacaaaaaaa
9.458,aaaaaaadaaaaaaa
9.896,aaaaaaaeaaaaaaa
10.25,aaaaaaabaaaaaaa
10.604,aaaaaaacaaaaaaa
10.833,aaaaaaadaaaaaaa
11.062,aaaaaaawaaaaaaa
11.291,aaaaaaaeaaaaaaa
12.229,caccacacacaccac
12.5,daddadadadaddad
12.729,eaeeaeaeaeaeeae
12.937,wawwawawawawwaw
13.166,babbababababbab
13.875,caccacacacaccac
14.354,eaeeaeaeaeaeeae
14.583,wawwawawawawwaw
14.812,daddadadadaddad
15.041,caccacacacaccac
16.021,babbababababbab
16.071,wawwawawawawwaw
16.121,eaeeaeaeaeaeeae
16.171,caccacacacaccac
16.458,daddadadadaddad
16.508,wawwawawawawwaw
16.558,babbababababbab
16.608,daddadadadaddad
16.708,eaeeaeaeaeaeeae
16.758,caccacacacaccac
16.808,awaawawcwawaawa
16.858,awacwcwcwcwcawa
16.958,cwccwcwcwcwccwc
17.008,awaawawawawaawa
17.058,adaadadcdadaada
17.108,adacdcdcdcdcada
17.396,cdccdcdcdcdccdc
17.446,adaadadadadaada
17.496,aeaaeaeceaeaaea
17.546,aeacececececaea
17.75,ceccececececcec
17.8,aeaaeaeaeaeaaea
17.85,abaababcbabaaba
17.9,abacbcbcbcbcaba
18.104,cbccbcbcbcbccbc
18.154,abaababababaaba
18.204,awaawawcwawaawa
18.254,awacwcwcwcwcawa
18.333,cwccwcwcwcwccwc
18.383,awaawawawawaawa
18.433,adaadadcdadaada
