timestamp,led,,,,previous _time_stamps
2,1:000255000_2:050100060,,,,3.457
4,1:255255000_2:050100255,,,,4.262
6,1:000255000_2:050100060,,,,5.067
8,1:255255000_2:050100255,,,,5.872
10,1:000255000_2:050100060,,,,6.677
12,1:255255000_2:050100255,,,,7.482
14,1:000255000_2:050100060,,,,8.287
16,1:255255000_2:050100255,,,,9.092
18,1:000255000_2:050100060,,,,9.897
20,1:255255000_2:050100255,,,,10.702
22,1:000255000_2:050100060,,,,11.507
24,1:255255000_2:050100255,,,,12.312
26,1:000255000_2:050100060,,,,13.117
28,1:255255000_2:050100255,,,,13.922
30,1:000255000_2:050100060,,,,14.727
32,1:255255000_2:050100255,,,,15.532
34,1:000255000_2:050100060,,,,16.337
36,1:255255000_2:050100255,,,,17.142
38,1:000255000_2:050100060,,,,17.947
40,1:255255000_2:050100255,,,,18.752
